Name,Frequency
CHO_W_APP,132.850
CHD_GND,124.400
CHI_S_APP,128.200
CHI_89_CTR,126.475
CHI_22_CTR,128.500
CHI_95_CTR,135.975
CHI_X_APP,135.075
CIC_TWR,121.000
CHI_51_CTR,135.150
CHI_83_CTR,118.225
CHI_81_CTR,120.350
CHI_A_APP,120.550
CHI_44_CTR,120.125
CHI_88_CTR,127.625
CHI_F_APP,124.350
CHI_63_CTR,133.950
CHI_L_APP,133.500
CHI_G_DEP,135.275
CHA_W_APP,119.200
CHI_M_DEP,126.625
CHI_71_CTR,132.625
CHI_45_CTR,124.800
CHI_27_CTR,125.100
CHO_TWR,124.500
CHI_62_CTR,123.825
CHR-N_APP,121.200
CHI_NW_CTR,127.775
CHR_APP,125.600
CHI_E_APP,118.925
CHI_56_CTR,132.800
CHI_36_CTR,126.325
CHO_GND,121.900
CHI_EA_CTR,120.350
CHI_SE_CTR,134.875
CHI_26_CTR,128.650
CHI_80_CTR,127.550
CHI_N_DEP,118.275
CHI_NE_CTR,133.200
CHA_GND,121.700
CHI_77_CTR,134.825
CHI_61_CTR,121.375
CHI_J_APP,125.700
CHI_H_APP,132.175
CHS_GND,121.900
CHI_NO_CTR,133.300
CID_DEL,125.450
CHI_91_CTR,134.325
CID_N_APP,134.050
CHI_47_CTR,127.325
CHI_25_CTR,126.125
CHI_34_CTR,125.375
CHI_D_DEP,134.400
CHA_TWR,118.300
CHI_76_CTR,125.220
CHI_52_CTR,132.225
CHI_K_DEP,125.400
CHS_DEL,127.325
CHI_90_CTR,128.525
CHI_46_CTR,121.275
CHI_24_CTR,132.275
CHI_32_CTR,120.975
CHI_75_CTR,127.775
CHI_SO_CTR,120.125
CHI_85_CTR,120.225
CHS_E_APP,121.275
CHI_Z_APP,119.000
CHI_Y_APP,135.025
CHI_55_CTR,118.750
CHI_37_CTR,119.850
CHI_94_CTR,125.575
CIC_GND,121.900
CHI_B_DEP,125.000
CHI_33_CTR,124.825
CHI_92_CTR,124.725
CHI_84_CTR,126.275
CHI_82_CTR,126.425
CHI_WE_CTR,125.575
CLE_08_CTR,127.900
CLT_U_APP,125.350
CLL_TWR,118.500
CLT_S_APP,120.050
CIN_GND,126.200
CKB_GND,121.900
CLT_A_APP,127.700
CLE_27_CTR,134.775
CKB_E_APP,121.150
CLE_73_CTR,124.325
CLT_N_APP,134.750
CLE_68_CTR,133.075
CLE_06_CTR,120.600
CLE_TWR,124.500
CLE_55_CTR,126.950
CMA_TWR,128.200
CLE_GND,121.700
CMH_CD_DEL,126.300
CIN_DEL,136.800
CLT_N_RMP,130.075
CLE_31_CTR,127.475
CLE_75_CTR,120.775
CLE_49_CTR,133.375
CLT_O_TWR,133.350
CLT_W_APP,120.500
CLE_18_CTR,133.875
CIN_TWR,118.300
CLE_12_CTR,126.750
CLE_37_CTR,128.025
CLE_69_CTR,135.175
CMA_DEL,120.750
CLL_GND,128.700
CLE_19_CTR,126.525
CLE_36_CTR,118.625
CKB_TWR,126.700
CLE_04_CTR,134.900
CLT_S_RMP,131.600
CLE_39_CTR,119.375
CLE_D_DEP,128.250
CLE_53_CTR,124.400
CMH_FR_APP,118.200
CLE_77_CTR,134.125
CLE_W_APP,124.200
CLE_N_APP,125.350
CLE_64_CTR,134.475
CLT_D_APP,135.600
CLT_DEL,127.150
CLE_R_DEP,135.875
CLT_H_APP,126.150
CLT_E_RMP,129.225
CMH_DW_APP,118.420
CLT_E_GND,121.900
CLT_K_TWR,118.100
CLE_A_APP,124.000
CLT_W_GND,121.800
CLT_E_APP,124.000
CLE_28_CTR,135.725
CLE_26_CTR,120.075
CLE_47_CTR,119.325
CLE_50_CTR,126.725
CLE_20_CTR,132.250
CKB_W_APP,119.600
CLT_Q_APP,128.325
CLE_33_CTR,125.200
CLE_58_CTR,121.075
CLT_M_APP,119.000
CLE_66_CTR,125.425
CLE_70_CTR,127.075
CLE_07_CTR,127.675
CMA_GND,121.800
CLE_38_CTR,120.625
CLE_59_CTR,119.725
CLE_46_CTR,135.370
CLE_45_CTR,120.325
CLE_CTR,119.875
CLE_F_APP,119.625
CLE_21_CTR,132.450
CLE_79_CTR,132.925
CLT_W_RMP,129.800
CLE_DEL,125.050
CLE_48_CTR,119.875
CLE_57_CTR,125.875
CLE_02_CTR,128.625
CLE_14_CTR,120.450
CLE_16_CTR,127.700
CLT_T_TWR,126.400
CLT_F_APP,132.700
CLE_03_CTR,135.100
CLE_67_CTR,132.125
CLE_15_CTR,134.650
CLT_B_GND,121.900
CLE_S_CTR,119.875
CLE_29_CTR,133.525
COE_GND,128.075
CVG_RMP-,130.900
CVG_BDR_APP,128.700
CMH_LCE_TWR,132.700
CVG_CD_DEL,127.175
CRQ_DEL,134.850
CMY_TWR,124.600
CMI_GND,121.800
CRW_CD_DEL,118.550
CSG_R_APP,126.550
CPH_I_APP,119.550
CVG_LCE_TWR,118.975
COS_W_TWR,119.900
CS_APP,118.400
CPS_DEL,118.275
CWA_GND,121.900
CVG_SAR_APP,119.700
CNW_TWR,124.000
CRP_GND,121.900
CRQ_GND,121.800
CVS_DEL,120.200
CVG_LST_APP,121.000
CVS_APP,118.425
